-- Seed: -6244207999796636337 --
73674198000 DAYS                : ERROR: 73674198000 DAYS is too large to represent in MICROSECONDS
3757384098000 DAYS              : ERROR: 3757384098000 DAYS is too large to represent in MICROSECONDS
210413509488000 DAYS            : ERROR: 210413509488000 DAYS is too large to represent in MICROSECONDS
11783156531328000 DAYS          : ERROR: 11783156531328000 DAYS is too large to represent in MICROSECONDS
176747347969920000 DAYS         : ERROR: 176747347969920000 DAYS is too large to represent in MICROSECONDS

Using: com.thesonofthom.tools.TimeFormatter tf = new com.thesonofthom.tools.TimeFormatter(java.util.concurrent.TimeUnit$3.MILLISECONDS, java.util.concurrent.TimeUnit$7.DAYS, false, false);
7 NANOSECONDS                   : 0ms
581 NANOSECONDS                 : 0ms
10458 NANOSECONDS               : 0ms
826182 NANOSECONDS              : 0ms
39656736 NANOSECONDS            : 39ms
3608762976 NANOSECONDS          : 3s:608ms
310353615936 NANOSECONDS        : 5m:10s:353ms
26690410970496 NANOSECONDS      : 7h:24m:50s:410ms
80071232911488 NANOSECONDS      : 22h:14m:31s:232ms
4564060275954816 NANOSECONDS    : 52d:19h:47m:40s:275ms
273843616557288960 NANOSECONDS  : 3169d:11h:40m:16s:557ms
6 MICROSECONDS                  : 0ms
366 MICROSECONDS                : 0ms
16104 MICROSECONDS              : 16ms
32208 MICROSECONDS              : 32ms
2480016 MICROSECONDS            : 2s:480ms
34720224 MICROSECONDS           : 34s:720ms
2742897696 MICROSECONDS         : 45m:42s:897ms
189259941024 MICROSECONDS       : 2d:04h:34m:19s:941ms
8516697346080 MICROSECONDS      : 98d:13h:44m:57s:346ms
366217985881440 MICROSECONDS    : 4238d:15h:13m:05s:881ms
732435971762880 MICROSECONDS    : 8477d:06h:26m:11s:762ms
5859487774103040 MICROSECONDS   : 67818d:03h:29m:34s:103ms
498056460798758400 MICROSECONDS : 5764542d:08h:53m:18s:758ms
5 MILLISECONDS                  : 5ms
255 MILLISECONDS                : 255ms
16830 MILLISECONDS              : 16s:830ms
201960 MILLISECONDS             : 3m:21s:960ms
15954840 MILLISECONDS           : 4h:25m:54s:840ms
510554880 MILLISECONDS          : 5d:21h:49m:14s:880ms
7147768320 MILLISECONDS         : 82d:17h:29m:28s:320ms
171546439680 MILLISECONDS       : 1985d:11h:47m:19s:680ms
2401650155520 MILLISECONDS      : 27796d:21h:02m:35s:520ms
206541913374720 MILLISECONDS    : 2390531d:09h:42m:54s:720ms
11566347148984320 MILLISECONDS  : 133869758d:16h:03m:04s:320ms
104097124340858880 MILLISECONDS : 1204827828d:00h:27m:38s:880ms
7703187201223557120 MILLISECONDS: 89157259273d:10h:05m:57s:120ms
2 SECONDS                       : 2s
78 SECONDS                      : 1m:18s
4524 SECONDS                    : 1h:15m:24s
244296 SECONDS                  : 2d:19h:51m:36s
2687256 SECONDS                 : 31d:02h:27m:36s
155860848 SECONDS               : 1803d:22h:40m:48s
10442676816 SECONDS             : 120864d:07h:33m:36s
751872730752 SECONDS            : 8702230d:16h:19m:12s
54886709344896 SECONDS          : 635262839d:15h:21m:36s
2799222176589696 SECONDS        : 32398404821d:15h:21m:36s
215540107597406592 SECONDS      : 2494677171266d:06h:43m:12s
3017561506363692288 SECONDS     : 34925480397727d:22h:04m:48s
0 MINUTES                       : 0ms
9 MINUTES                       : 9m
342 MINUTES                     : 5h:42m
12654 MINUTES                   : 8d:18h:54m
822510 MINUTES                  : 571d:04h:30m
49350600 MINUTES                : 34271d:06h
2072725200 MINUTES              : 1439392d:12h
31090878000 MINUTES             : 21590887d:12h
2767088142000 MINUTES           : 1921588987d:12h
146655671526000 MINUTES         : 101844216337d:12h
8945995963086000 MINUTES        : 6212497196587d:12h
35783983852344000 MINUTES       : 24849988786350d
2003903095731264000 MINUTES     : 1391599372035600d
3 HOURS                         : 3h
69 HOURS                        : 2d:21h
2898 HOURS                      : 120d:18h
124614 HOURS                    : 5192d:06h
1370754 HOURS                   : 57114d:18h
58942422 HOURS                  : 2455934d:06h
530481798 HOURS                 : 22103408d:06h
37664207658 HOURS               : 1569341985d:18h
866276776134 HOURS              : 36094865672d:06h
15592981970412 HOURS            : 649707582100d:12h
935578918224720 HOURS           : 38982454926030d
51456840502359600 HOURS         : 2144035020931650d
3601978835165172000 HOURS       : 150082451465215500d
1 DAYS                          : 1d
17 DAYS                         : 17d
561 DAYS                        : 561d
38148 DAYS                      : 38148d
572220 DAYS                     : 572220d
26322120 DAYS                   : 26322120d
368509680 DAYS                  : 368509680d
19531013040 DAYS                : 19531013040d
683585456400 DAYS               : 683585456400d
1367170912800 DAYS              : 1367170912800d
82030254768000 DAYS             : 82030254768000d
7546783438656000 DAYS           : 7546783438656000d
467900573196672000 DAYS         : 467900573196672000d

Using: com.thesonofthom.tools.TimeFormatter tf = new com.thesonofthom.tools.TimeFormatter(java.util.concurrent.TimeUnit$3.MILLISECONDS, java.util.concurrent.TimeUnit$7.DAYS, false, true);
7 NANOSECONDS                   : 0d:00h:00m:00s:000ms
630 NANOSECONDS                 : 0d:00h:00m:00s:000ms
52920 NANOSECONDS               : 0d:00h:00m:00s:000ms
4921560 NANOSECONDS             : 0d:00h:00m:00s:004ms
231313320 NANOSECONDS           : 0d:00h:00m:00s:231ms
20818198800 NANOSECONDS         : 0d:00h:00m:20s:818ms
978455343600 NANOSECONDS        : 0d:00h:16m:18s:455ms
24461383590000 NANOSECONDS      : 0d:06h:47m:41s:383ms
2397215591820000 NANOSECONDS    : 27d:17h:53m:35s:591ms
71916467754600000 NANOSECONDS   : 832d:08h:47m:47s:754ms
3308157516711600000 NANOSECONDS : 38288d:20h:38m:36s:711ms
6 MICROSECONDS                  : 0d:00h:00m:00s:000ms
450 MICROSECONDS                : 0d:00h:00m:00s:000ms
22050 MICROSECONDS              : 0d:00h:00m:00s:022ms
1764000 MICROSECONDS            : 0d:00h:00m:01s:764ms
61740000 MICROSECONDS           : 0d:00h:01m:01s:740ms
3889620000 MICROSECONDS         : 0d:01h:04m:49s:620ms
31116960000 MICROSECONDS        : 0d:08h:38m:36s:960ms
2800526400000 MICROSECONDS      : 32d:09h:55m:26s:400ms
67212633600000 MICROSECONDS     : 777d:22h:10m:33s:600ms
5914711756800000 MICROSECONDS   : 68457d:07h:29m:16s:800ms
17744135270400000 MICROSECONDS  : 205371d:22h:27m:50s:400ms
319394434867200000 MICROSECONDS : 3696694d:20h:21m:07s:200ms
6 MILLISECONDS                  : 0d:00h:00m:00s:006ms
534 MILLISECONDS                : 0d:00h:00m:00s:534ms
42720 MILLISECONDS              : 0d:00h:00m:42s:720ms
2392320 MILLISECONDS            : 0d:00h:39m:52s:320ms
234447360 MILLISECONDS          : 2d:17h:07m:27s:360ms
13129052160 MILLISECONDS        : 151d:22h:57m:32s:160ms
196935782400 MILLISECONDS       : 2279d:08h:23m:02s:400ms
18511963545600 MILLISECONDS     : 214258d:20h:05m:45s:600ms
1203277630464000 MILLISECONDS   : 13926824d:10h:14m:24s
31285218392064000 MILLISECONDS  : 362097435d:02h:14m:24s
2846954873677824000 MILLISECONDS: 32950866593d:11h:50m:24s
8 SECONDS                       : 0d:00h:00m:08s
320 SECONDS                     : 0d:00h:05m:20s
11200 SECONDS                   : 0d:03h:06m:40s
246400 SECONDS                  : 2d:20h:26m:40s
3942400 SECONDS                 : 45d:15h:06m:40s
232601600 SECONDS               : 2692d:03h:33m:20s
17445120000 SECONDS             : 201911d:02h:40m
1535170560000 SECONDS           : 17768177d:18h:40m
87504721920000 SECONDS          : 1012786133d:08h
6300339978240000 SECONDS        : 72920601600d
239412919173120000 SECONDS      : 2770982860800d
3351780868423680000 SECONDS     : 38793760051200d
4 MINUTES                       : 0d:00h:04m
328 MINUTES                     : 0d:05h:28m
9184 MINUTES                    : 6d:09h:04m
367360 MINUTES                  : 255d:02h:40m
734720 MINUTES                  : 510d:05h:20m
8081920 MINUTES                 : 5612d:10h:40m
379850240 MINUTES               : 263784d:21h:20m
16333560320 MINUTES             : 11342750d:05h:20m
718676654080 MINUTES            : 499081009d:18h:40m
37371186012160 MINUTES          : 25952212508d:10h:40m
336340674109440 MINUTES         : 233569912576d
336340674109440 MINUTES         : 233569912576d
24216528535879680 MINUTES       : 16817033705472d
1816239640190976000 MINUTES     : 1261277527910400d
7 HOURS                         : 0d:07h
637 HOURS                       : 26d:13h
60515 HOURS                     : 2521d:11h
1210300 HOURS                   : 50429d:04h
65356200 HOURS                  : 2723175d
6012770400 HOURS                : 250532100d
144306489600 HOURS              : 6012770400d
6349485542400 HOURS             : 264561897600d
171436109644800 HOURS           : 7143171235200d
15600685977676800 HOURS         : 650028582403200d
265211661620505600 HOURS        : 11050485900854400d
6895503202133145600 HOURS       : 287312633422214400d
1 DAYS                          : 1d
95 DAYS                         : 95d
4845 DAYS                       : 4845d
218025 DAYS                     : 218025d
7194825 DAYS                    : 7194825d
122312025 DAYS                  : 122312025d
5870977200 DAYS                 : 5870977200d
70451726400 DAYS                : 70451726400d
70451726400 DAYS                : 70451726400d
4508910489600 DAYS              : 4508910489600d
320132644761600 DAYS            : 320132644761600d
12805305790464000 DAYS          : 12805305790464000d
153663669485568000 DAYS         : 153663669485568000d
8912492830162944000 DAYS        : 8912492830162944000d

Using: com.thesonofthom.tools.TimeFormatter tf = new com.thesonofthom.tools.TimeFormatter(java.util.concurrent.TimeUnit$3.MILLISECONDS, java.util.concurrent.TimeUnit$7.DAYS, true, false);
8 NANOSECONDS                   : 0ms
72 NANOSECONDS                  : 0ms
2808 NANOSECONDS                : 0ms
140400 NANOSECONDS              : 0ms
12074400 NANOSECONDS            : 12ms
555422400 NANOSECONDS           : 555ms
51098860800 NANOSECONDS         : 51s:098ms
1379669241600 NANOSECONDS       : 22m:59s:669ms
15176361657600 NANOSECONDS      : 4h:12m:56s:361ms
1289990740896000 NANOSECONDS    : 14d:22h:19m:50s:740ms
108359222235264000 NANOSECONDS  : 1254d:03h:47m:02s:235ms
4 MICROSECONDS                  : 0ms
76 MICROSECONDS                 : 0ms
7068 MICROSECONDS               : 7ms
190836 MICROSECONDS             : 190ms
12213504 MICROSECONDS           : 12s:213ms
867158784 MICROSECONDS          : 14m:27s:158ms
26881922304 MICROSECONDS        : 7h:28m:01s:922ms
2500018774272 MICROSECONDS      : 28d:22h:26m:58s:774ms
230001727233024 MICROSECONDS    : 2662d:01h:22m:07s:233ms
230001727233024 MICROSECONDS    : 2662d:01h:22m:07s:233ms
1840013817864192 MICROSECONDS   : 21296d:10h:56m:57s:864ms
104880787618258944 MICROSECONDS : 1213898d:00h:06m:58s:258ms
4719635442821652480 MICROSECONDS: 54625410d:05h:13m:41s:652ms
4 MILLISECONDS                  : 4ms
252 MILLISECONDS                : 252ms
19404 MILLISECONDS              : 19s:404ms
19404 MILLISECONDS              : 19s:404ms
582120 MILLISECONDS             : 9m:42s:120ms
48315960 MILLISECONDS           : 13h:25m:15s:960ms
2270850120 MILLISECONDS         : 26d:06h:47m:30s:120ms
20437651080 MILLISECONDS        : 236d:13h:07m:31s:080ms
490503625920 MILLISECONDS       : 5677d:03h:00m:25s:920ms
13734101525760 MILLISECONDS     : 158959d:12h:12m:05s:760ms
508161756453120 MILLISECONDS    : 5881501d:19h:27m:33s:120ms
17277499719406080 MILLISECONDS  : 199971061d:13h:36m:46s:080ms
1174869980919613440 MILLISECONDS: 13598032186d:13h:40m:13s:440ms
0 SECONDS                       : 0ms
59 SECONDS                      : 59s:000ms
3776 SECONDS                    : 1h:02m:56s:000ms
268096 SECONDS                  : 3d:02h:28m:16s:000ms
11796224 SECONDS                : 136d:12h:43m:44s:000ms
601607424 SECONDS               : 6963d:01h:10m:24s:000ms
38502875136 SECONDS             : 445635d:03h:05m:36s:000ms
192514375680 SECONDS            : 2228175d:15h:28m:00s:000ms
9048175656960 SECONDS           : 104724255d:06h:56m:00s:000ms
153818986168320 SECONDS         : 1780312339d:21h:52m:00s:000ms
14766622672158720 SECONDS       : 170909984631d:11h:12m:00s:000ms
324865698787491840 SECONDS      : 3760019661892d:06h:24m:00s:000ms
8 MINUTES                       : 8m:00s:000ms
424 MINUTES                     : 7h:04m:00s:000ms
34768 MINUTES                   : 24d:03h:28m:00s:000ms
2538064 MINUTES                 : 1762d:13h:04m:00s:000ms
116750944 MINUTES               : 81077d:01h:04m:00s:000ms
7005056640 MINUTES              : 4864622d:16h:00m:00s:000ms
546394417920 MINUTES            : 379440568d:00h:00m:00s:000ms
3824760925440 MINUTES           : 2656083976d:00h:00m:00s:000ms
152990437017600 MINUTES         : 106243359040d:00h:00m:00s:000ms
10709330591232000 MINUTES       : 7437035132800d:00h:00m:00s:000ms
342698578919424000 MINUTES      : 237985124249600d:00h:00m:00s:000ms
1 HOURS                         : 1h:00m:00s:000ms
72 HOURS                        : 3d:00h:00m:00s:000ms
3168 HOURS                      : 132d:00h:00m:00s:000ms
177408 HOURS                    : 7392d:00h:00m:00s:000ms
12241152 HOURS                  : 510048d:00h:00m:00s:000ms
893604096 HOURS                 : 37233504d:00h:00m:00s:000ms
55403453952 HOURS               : 2308477248d:00h:00m:00s:000ms
3047189967360 HOURS             : 126966248640d:00h:00m:00s:000ms
106651648857600 HOURS           : 4443818702400d:00h:00m:00s:000ms
4266065954304000 HOURS          : 177752748096000d:00h:00m:00s:000ms
42660659543040000 HOURS         : 1777527480960000d:00h:00m:00s:000ms
3242210125271040000 HOURS       : 135092088552960000d:00h:00m:00s:000ms
2 DAYS                          : 2d:00h:00m:00s:000ms
88 DAYS                         : 88d:00h:00m:00s:000ms
7480 DAYS                       : 7480d:00h:00m:00s:000ms
359040 DAYS                     : 359040d:00h:00m:00s:000ms
20106240 DAYS                   : 20106240d:00h:00m:00s:000ms
1990517760 DAYS                 : 1990517760d:00h:00m:00s:000ms
17914659840 DAYS                : 17914659840d:00h:00m:00s:000ms
1074879590400 DAYS              : 1074879590400d:00h:00m:00s:000ms
7524157132800 DAYS              : 7524157132800d:00h:00m:00s:000ms
443925270835200 DAYS            : 443925270835200d:00h:00m:00s:000ms
15981309750067200 DAYS          : 15981309750067200d:00h:00m:00s:000ms
543364531502284800 DAYS         : 543364531502284800d:00h:00m:00s:000ms

Using: com.thesonofthom.tools.TimeFormatter tf = new com.thesonofthom.tools.TimeFormatter(java.util.concurrent.TimeUnit$3.MILLISECONDS, java.util.concurrent.TimeUnit$7.DAYS, true, true);
6 NANOSECONDS                   : 0d:00h:00m:00s:000ms
348 NANOSECONDS                 : 0d:00h:00m:00s:000ms
21924 NANOSECONDS               : 0d:00h:00m:00s:000ms
767340 NANOSECONDS              : 0d:00h:00m:00s:000ms
41436360 NANOSECONDS            : 0d:00h:00m:00s:041ms
2278999800 NANOSECONDS          : 0d:00h:00m:02s:278ms
4557999600 NANOSECONDS          : 0d:00h:00m:04s:557ms
309943972800 NANOSECONDS        : 0d:00h:05m:09s:943ms
5578991510400 NANOSECONDS       : 0d:01h:32m:58s:991ms
490951252915200 NANOSECONDS     : 5d:16h:22m:31s:252ms
10800927564134400 NANOSECONDS   : 125d:00h:15m:27s:564ms
291625044231628800 NANOSECONDS  : 3375d:06h:57m:24s:231ms
1458125221158144000 NANOSECONDS : 16876d:10h:47m:01s:158ms
0 MICROSECONDS                  : 0d:00h:00m:00s:000ms
3 MICROSECONDS                  : 0d:00h:00m:00s:000ms
117 MICROSECONDS                : 0d:00h:00m:00s:000ms
1989 MICROSECONDS               : 0d:00h:00m:00s:001ms
7956 MICROSECONDS               : 0d:00h:00m:00s:007ms
238680 MICROSECONDS             : 0d:00h:00m:00s:238ms
4296240 MICROSECONDS            : 0d:00h:00m:04s:296ms
365180400 MICROSECONDS          : 0d:00h:06m:05s:180ms
26658169200 MICROSECONDS        : 0d:07h:24m:18s:169ms
2079337197600 MICROSECONDS      : 24d:01h:35m:37s:197ms
39507406754400 MICROSECONDS     : 457d:06h:16m:46s:754ms
1185222202632000 MICROSECONDS   : 13717d:20h:23m:22s:632ms
15407888634216000 MICROSECONDS  : 178332d:01h:03m:54s:216ms
400605104489616000 MICROSECONDS : 4636633d:03h:41m:29s:616ms
7 MILLISECONDS                  : 0d:00h:00m:00s:007ms
70 MILLISECONDS                 : 0d:00h:00m:00s:070ms
420 MILLISECONDS                : 0d:00h:00m:00s:420ms
7560 MILLISECONDS               : 0d:00h:00m:07s:560ms
740880 MILLISECONDS             : 0d:00h:12m:20s:880ms
31116960 MILLISECONDS           : 0d:08h:38m:36s:960ms
280052640 MILLISECONDS          : 3d:05h:47m:32s:640ms
24364579680 MILLISECONDS        : 281d:23h:56m:19s:680ms
2022260113440 MILLISECONDS      : 23405d:18h:55m:13s:440ms
196159231003680 MILLISECONDS    : 2270361d:11h:16m:43s:680ms
4707821544088320 MILLISECONDS   : 54488675d:06h:41m:28s:320ms
315424043453917440 MILLISECONDS : 3650741243d:16h:18m:37s:440ms
3 SECONDS                       : 0d:00h:00m:03s:000ms
90 SECONDS                      : 0d:00h:01m:30s:000ms
7470 SECONDS                    : 0d:02h:04m:30s:000ms
164340 SECONDS                  : 1d:21h:39m:00s:000ms
3615480 SECONDS                 : 41d:20h:18m:00s:000ms
318162240 SECONDS               : 3682d:10h:24m:00s:000ms
1908973440 SECONDS              : 22094d:14h:24m:00s:000ms
103084565760 SECONDS            : 1193108d:09h:36m:00s:000ms
5360397419520 SECONDS           : 62041636d:19h:12m:00s:000ms
171532717424640 SECONDS         : 1985332377d:14h:24m:00s:000ms
13036486524272640 SECONDS       : 150885260697d:14h:24m:00s:000ms
990772975844720640 SECONDS      : 11467279813017d:14h:24m:00s:000ms
6 MINUTES                       : 0d:00h:06m:00s:000ms
510 MINUTES                     : 0d:08h:30m:00s:000ms
16830 MINUTES                   : 11d:16h:30m:00s:000ms
572220 MINUTES                  : 397d:09h:00m:00s:000ms
49210920 MINUTES                : 34174d:06h:00m:00s:000ms
147632760 MINUTES               : 102522d:18h:00m:00s:000ms
8710332840 MINUTES              : 6048842d:06h:00m:00s:000ms
409385643480 MINUTES            : 284295585d:18h:00m:00s:000ms
25791295539240 MINUTES          : 17910621902d:06h:00m:00s:000ms
1495895141275920 MINUTES        : 1038816070330d:12h:00m:00s:000ms
32909693108070240 MINUTES       : 22853953547271d:00h:00m:00s:000ms
1941671893376144160 MINUTES     : 1348383259288989d:00h:00m:00s:000ms
0 HOURS                         : 0d:00h:00m:00s:000ms
32 HOURS                        : 1d:08h:00m:00s:000ms
512 HOURS                       : 21d:08h:00m:00s:000ms
4608 HOURS                      : 192d:00h:00m:00s:000ms
313344 HOURS                    : 13056d:00h:00m:00s:000ms
3760128 HOURS                   : 156672d:00h:00m:00s:000ms
86482944 HOURS                  : 3603456d:00h:00m:00s:000ms
7783464960 HOURS                : 324311040d:00h:00m:00s:000ms
544842547200 HOURS              : 22701772800d:00h:00m:00s:000ms
7082953113600 HOURS             : 295123046400d:00h:00m:00s:000ms
651631686451200 HOURS           : 27151320268800d:00h:00m:00s:000ms
13684265415475200 HOURS         : 570177725644800d:00h:00m:00s:000ms
862108721174937600 HOURS        : 35921196715622400d:00h:00m:00s:000ms
3 DAYS                          : 3d:00h:00m:00s:000ms
36 DAYS                         : 36d:00h:00m:00s:000ms
2340 DAYS                       : 2340d:00h:00m:00s:000ms
187200 DAYS                     : 187200d:00h:00m:00s:000ms
8049600 DAYS                    : 8049600d:00h:00m:00s:000ms
289785600 DAYS                  : 289785600d:00h:00m:00s:000ms
3477427200 DAYS                 : 3477427200d:00h:00m:00s:000ms
326878156800 DAYS               : 326878156800d:00h:00m:00s:000ms
15690151526400 DAYS             : 15690151526400d:00h:00m:00s:000ms
831578030899200 DAYS            : 831578030899200d:00h:00m:00s:000ms
57378884132044800 DAYS          : 57378884132044800d:00h:00m:00s:000ms
459031073056358400 DAYS         : 459031073056358400d:00h:00m:00s:000ms

Using: com.thesonofthom.tools.TimeFormatter tf = new com.thesonofthom.tools.TimeFormatter(java.util.concurrent.TimeUnit$3.MILLISECONDS, java.util.concurrent.TimeUnit$6.HOURS, false, false);
7 NANOSECONDS                   : 0ms
553 NANOSECONDS                 : 0ms
15484 NANOSECONDS               : 0ms
572908 NANOSECONDS              : 0ms
44113916 NANOSECONDS            : 44ms
1102847900 NANOSECONDS          : 1s:102ms
98153463100 NANOSECONDS         : 1m:38s:153ms
6576282027700 NANOSECONDS       : 1h:49m:36s:282ms
434034613828200 NANOSECONDS     : 120h:33m:54s:613ms
41233288313679000 NANOSECONDS   : 11453h:41m:28s:313ms
206166441568395000 NANOSECONDS  : 57268h:27m:21s:568ms
3298663065094320000 NANOSECONDS : 916295h:17m:45s:094ms
1 MICROSECONDS                  : 0ms
42 MICROSECONDS                 : 0ms
1764 MICROSECONDS               : 1ms
29988 MICROSECONDS              : 29ms
1559376 MICROSECONDS            : 1s:559ms
90443808 MICROSECONDS           : 1m:30s:443ms
2532426624 MICROSECONDS         : 42m:12s:426ms
43051252608 MICROSECONDS        : 11h:57m:31s:252ms
990178809984 MICROSECONDS       : 275h:02m:58s:809ms
51489298119168 MICROSECONDS     : 14302h:34m:58s:119ms
617871577430016 MICROSECONDS    : 171630h:59m:37s:430ms
21625505210050560 MICROSECONDS  : 6007084h:46m:50s:050ms
389259093780910080 MICROSECONDS : 108127526h:03m:00s:910ms
8 MILLISECONDS                  : 8ms
288 MILLISECONDS                : 288ms
17568 MILLISECONDS              : 17s:568ms
404064 MILLISECONDS             : 6m:44s:064ms
19799136 MILLISECONDS           : 5h:29m:59s:136ms
633572352 MILLISECONDS          : 175h:59m:32s:352ms
41182202880 MILLISECONDS        : 11439h:30m:02s:880ms
1441377100800 MILLISECONDS      : 400382h:31m:40s:800ms
11531016806400 MILLISECONDS     : 3203060h:13m:26s:400ms
980136428544000 MILLISECONDS    : 272260119h:02m:24s
17642455713792000 MILLISECONDS  : 4900682142h:43m:12s
829195418548224000 MILLISECONDS : 230332060707h:50m:24s
2 SECONDS                       : 2s
60 SECONDS                      : 1m
4320 SECONDS                    : 1h:12m
267840 SECONDS                  : 74h:24m
18213120 SECONDS                : 5059h:12m
837803520 SECONDS               : 232723h:12m
24296302080 SECONDS             : 6748972h:48m
2113778280960 SECONDS           : 587160633h:36m
196581380129280 SECONDS         : 54605938924h:48m
14153859369308160 SECONDS       : 3931627602585h:36m
438769640448552960 SECONDS      : 121880455680153h:36m
1 MINUTES                       : 1m
11 MINUTES                      : 11m
88 MINUTES                      : 1h:28m
3696 MINUTES                    : 61h:36m
11088 MINUTES                   : 184h:48m
720720 MINUTES                  : 12012h
38198160 MINUTES                : 636636h
2788465680 MINUTES              : 46474428h
61346244960 MINUTES             : 1022437416h
3619428452640 MINUTES           : 60323807544h
90485711316000 MINUTES          : 1508095188600h
3800399875272000 MINUTES        : 63339997921200h
235624792266864000 MINUTES      : 3927079871114400h
5 HOURS                         : 5h
160 HOURS                       : 160h
7040 HOURS                      : 7040h
696960 HOURS                    : 696960h
65514240 HOURS                  : 65514240h
2424026880 HOURS                : 2424026880h
12120134400 HOURS               : 12120134400h
351483897600 HOURS              : 351483897600h
18980130470400 HOURS            : 18980130470400h
1765152133747200 HOURS          : 1765152133747200h
105909128024832000 HOURS        : 105909128024832000h
1 DAYS                          : 24h
90 DAYS                         : 2160h
2430 DAYS                       : 58320h
133650 DAYS                     : 3207600h
8286300 DAYS                    : 198871200h
522036900 DAYS                  : 12528885600h
16183143900 DAYS                : 388395453600h
275113446300 DAYS               : 6602722711200h
1100453785200 DAYS              : 26410890844800h
37415428696800 DAYS             : 897970288723200h
3105480581834400 DAYS           : 74531533964025600h
301231616437936800 DAYS         : 7229558794510483200h

Using: com.thesonofthom.tools.TimeFormatter tf = new com.thesonofthom.tools.TimeFormatter(java.util.concurrent.TimeUnit$3.MILLISECONDS, java.util.concurrent.TimeUnit$6.HOURS, false, true);
6 NANOSECONDS                   : 0h:00m:00s:000ms
228 NANOSECONDS                 : 0h:00m:00s:000ms
21204 NANOSECONDS               : 0h:00m:00s:000ms
296856 NANOSECONDS              : 0h:00m:00s:000ms
3562272 NANOSECONDS             : 0h:00m:00s:003ms
99743616 NANOSECONDS            : 0h:00m:00s:099ms
3790257408 NANOSECONDS          : 0h:00m:03s:790ms
121288237056 NANOSECONDS        : 0h:02m:01s:288ms
8732753068032 NANOSECONDS       : 2h:25m:32s:753ms
165922308292608 NANOSECONDS     : 46h:05m:22s:308ms
5641358481948672 NANOSECONDS    : 1567h:02m:38s:481ms
276426565615484928 NANOSECONDS  : 76785h:09m:25s:615ms
7463517271618093056 NANOSECONDS : 2073199h:14m:31s:618ms
3 MICROSECONDS                  : 0h:00m:00s:000ms
156 MICROSECONDS                : 0h:00m:00s:000ms
8268 MICROSECONDS               : 0h:00m:00s:008ms
686244 MICROSECONDS             : 0h:00m:00s:686ms
46664592 MICROSECONDS           : 0h:00m:46s:664ms
3173192256 MICROSECONDS         : 0h:52m:53s:192ms
63463845120 MICROSECONDS        : 17h:37m:43s:845ms
2411626114560 MICROSECONDS      : 669h:53m:46s:114ms
38586017832960 MICROSECONDS     : 10718h:20m:17s:832ms
2160816998645760 MICROSECONDS   : 600226h:56m:38s:645ms
10804084993228800 MICROSECONDS  : 3001134h:43m:13s:228ms
378142974763008000 MICROSECONDS : 105039715h:12m:43s:008ms
4 MILLISECONDS                  : 0h:00m:00s:004ms
352 MILLISECONDS                : 0h:00m:00s:352ms
21120 MILLISECONDS              : 0h:00m:21s:120ms
1837440 MILLISECONDS            : 0h:30m:37s:440ms
132295680 MILLISECONDS          : 36h:44m:55s:680ms
10054471680 MILLISECONDS        : 2792h:54m:31s:680ms
472560168960 MILLISECONDS       : 131266h:42m:48s:960ms
18902406758400 MILLISECONDS     : 5250668h:32m:38s:400ms
151219254067200 MILLISECONDS    : 42005348h:21m:07s:200ms
12853636595712000 MILLISECONDS  : 3570454609h:55m:12s
604120919998464000 MILLISECONDS : 167811366666h:14m:24s
2 SECONDS                       : 0h:00m:02s
4 SECONDS                       : 0h:00m:04s
184 SECONDS                     : 0h:03m:04s
12696 SECONDS                   : 3h:31m:36s
1155336 SECONDS                 : 320h:55m:36s
51990120 SECONDS                : 14441h:42m
3691298520 SECONDS              : 1025360h:42m
18456492600 SECONDS             : 5126803h:30m
1753366797000 SECONDS           : 487046332h:30m
108708741414000 SECONDS         : 30196872615h
1521922379796000 SECONDS        : 422756216610h
65442662331228000 SECONDS       : 18178517314230h
1308853246624560000 SECONDS     : 363570346284600h
8 MINUTES                       : 0h:08m
784 MINUTES                     : 13h:04m
19600 MINUTES                   : 326h:40m
1685600 MINUTES                 : 28093h:20m
107878400 MINUTES               : 1797973h:20m
5501798400 MINUTES              : 91696640h
269588121600 MINUTES            : 4493135360h
22106225971200 MINUTES          : 368437099520h
1105311298560000 MINUTES        : 18421854976000h
28738093762560000 MINUTES       : 478968229376000h
1954190375854080000 MINUTES     : 32569839597568000h
6 HOURS                         : 6h
150 HOURS                       : 150h
9900 HOURS                      : 9900h
227700 HOURS                    : 227700h
14117400 HOURS                  : 14117400h
1157626800 HOURS                : 1157626800h
24310162800 HOURS               : 24310162800h
1774641884400 HOURS             : 1774641884400h
117126364370400 HOURS           : 117126364370400h
1991148194296800 HOURS          : 1991148194296800h
99557409714840000 HOURS         : 99557409714840000h
1294246326292920000 HOURS       : 1294246326292920000h
6 DAYS                          : 144h
264 DAYS                        : 6336h
24816 DAYS                      : 595584h
1737120 DAYS                    : 41690880h
151129440 DAYS                  : 3627106560h
3324847680 DAYS                 : 79796344320h
322510224960 DAYS               : 7740245399040h
31283491821120 DAYS             : 750803803706880h
782087295528000 DAYS            : 18770095092672000h
65695332824352000 DAYS          : 1576687987784448000h
722648661067872000 DAYS         : ERROR: 722648661067872000 DAYS is too large to represent in HOURS

